id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5YiqPAVbiFUj1G1qvbXo0X,0.596,0.436,3,-9.504,1,0.0277,0.52,3.76e-06,0.122,0.348,132.042,4
45PPoUgqs3JrhkZGEzSUHT,0.661,0.608,11,-8.091,1,0.0412,0.661,0.00111,0.0993,0.46,132.056,4
0vkExWiBJSrfWnlMC7x48b,0.699,0.375,11,-12.02,1,0.0384,0.773,0.000152,0.104,0.27,144.016,4
17vw2n25C8g7KKCilJ3pER,0.672,0.461,0,-7.989,1,0.0324,0.888,1.14e-06,0.107,0.395,123.97,4
3ukrFH17Zl6iEZ2QJ1Zwiy,0.808,0.41,2,-10.981,0,0.105,0.816,0.0,0.102,0.361,110.079,4
3uT8QfoX0BE8ZJa4h98LDW,0.809,0.42,8,-14.145,1,0.319,0.654,2.91e-06,0.116,0.521,148.048,4
31lWJAIRZC1cSPyCuXWAaX,0.45,0.395,3,-7.867,1,0.0366,0.615,2.77e-06,0.122,0.114,119.587,3
5B66uVtd4X6Tls9I2VQm4N,0.573,0.447,0,-9.358,0,0.0491,0.804,0.0,0.181,0.33,135.9,4
7h2zqUH4bYyknNUxsYnS5V,0.629,0.223,7,-14.863,1,0.0351,0.872,5.79e-06,0.163,0.321,119.945,4
6mnkGSgd8eHVv1C38pDP9o,0.618,0.305,1,-9.86,1,0.033,0.824,0.00253,0.0985,0.211,128.011,4
6K2RhGsliOVLgj7iUaayuD,0.492,0.502,3,-6.864,1,0.0542,0.798,0.00474,0.0974,0.395,171.607,4
4xjMsuPSMtGwFvwdnEFDKn,0.609,0.421,0,-12.272,0,0.0327,0.619,0.0514,0.079,0.551,119.978,4
0A0oqleZkyD8FN6aW48Jzn,0.351,0.238,8,-12.757,1,0.0382,0.956,0.0067,0.0973,0.334,113.979,4
6kDcfNV4jAz7izU56ZxlDm,0.547,0.54,7,-5.746,1,0.0391,0.781,0.0,0.152,0.356,82.053,4
